,rpm,t,id,iq,torque,motorpwr,accpwr,current,voltage,vout,vd,vq,phasepwr
398,3981,160,-150.0,178.50883726881352,100.82625401035759,42035.57695367309,46576.816569166855,187.66666931823673,248.188765518205,139.12727448330028,-132.8169407937166,49.11119922782354,33017.399551140836
399,3991,160,-150.0,178.0181160653039,100.54908240658527,42025.32128484017,46565.45294719133,187.60839809558826,248.20560007442816,139.1369939188674,-132.7849856952253,49.223040163043656,32966.292904675116
400,4001,160,-150.0,177.52984353589284,100.27329387516066,42015.06459392989,46554.088192720104,187.54950637642753,248.2226138920937,139.14681685107655,-132.75302741209694,49.334911143494956,32915.52913687882
401,4011,160,-150.0,177.04383169757617,99.99878223858346,42004.76662606383,46542.67770200979,187.4907015382911,248.2396026098313,139.15662529183555,-132.72094051627548,49.44680986262598,32865.059815456734
402,4021,160,-150.0,176.56006075292183,99.72553631476907,41994.42668415785,46531.22070266798,187.43199527302275,248.25656284986735,139.1664172909859,-132.68872283575328,49.55873607752225,32814.8818732122
403,4031,160,-150.0,176.07869125594908,99.45364678864144,41984.087027167145,46519.76401902177,187.37264501592202,248.27370913914376,139.1763167057152,-132.65650604298364,49.67069175818157,32765.040872705227
404,4041,160,-150.0,175.5995284390175,99.18300365056805,41973.70536108679,46508.2607879078,187.3133932866169,248.29082696374,139.1861996863538,-132.62415835630358,49.782674514805,32715.4864954103
405,4051,160,-150.0,175.12261469669951,98.9136308460633,41963.29576045182,46496.72660437875,187.25399254828156,248.30798783704506,139.196107521176,-132.59172362981573,49.89468486757394,32666.23238314348
406,4061,160,-150.0,174.6478706973503,98.64548356663089,41952.843159777985,46485.14477537727,187.19470674048625,248.32511550691714,139.20599618598723,-132.55915492177093,50.0067218430891,32617.259322093323
407,4071,160,-150.0,174.1754678465585,98.3786586264324,41942.39268475686,46473.56530166965,187.13474395281926,248.3424387562741,139.21599776866674,-132.52659283693552,50.11878754449706,32568.61570079204
408,4081,160,-150.0,173.70520185135922,98.11304063569398,41931.89917416504,46461.93814311916,187.07489604948452,248.3597288155475,139.22598018904253,-132.4938966598315,50.23087946512315,32520.248561662032
409,4091,160,-150.0,173.2370538456462,97.84861893836711,41921.36185456391,46450.2624427301,187.01517599366895,248.37698193967265,139.23594128490055,-132.46106398054218,50.34299737348023,32472.15493993962
410,4101,160,-150.0,172.77120370329104,97.58549513171135,41910.82811820839,46438.59071269628,186.9547529150085,248.39443816709766,139.2460196425034,-132.42824246609916,50.4551434766207,32424.385434161093
411,4111,160,-150.0,172.30743961568538,97.3235495809295,41900.25053694718,46426.870401049506,186.89445763679237,248.4118574729743,139.25607668344037,-132.39528433762317,50.56731517565295,32376.885011017963
